Day,Oil Volume,Well Name
1,0.00,1
2,0.00,1
3,0.00,1
4,0.00,1
5,0.00,1
6,0.00,1
7,0.00,1
8,0.00,1
9,0.00,1
10,0.00,1
11,0.00,1
12,0.00,1
13,0.00,1
14,0.00,1
15,0.00,1
16,631.00,1
17,1166.00,1
18,1550.00,1
19,1249.00,1
20,1346.00,1
21,1350.00,1
22,1346.00,1
23,1279.00,1
24,1226.00,1
25,1213.00,1
26,1074.00,1
27,1044.00,1
28,970.00,1
29,946.00,1
30,1003.00,1
31,925.00,1
32,914.00,1
33,177.00,1
34,944.00,1
35,823.00,1
36,769.00,1
37,741.00,1
38,713.00,1
39,744.00,1
40,736.00,1
41,783.00,1
42,835.00,1
43,789.00,1
44,783.00,1
45,744.00,1
46,735.00,1
47,743.00,1
48,747.00,1
49,751.00,1
50,727.00,1
51,716.00,1
52,695.00,1
53,699.00,1
54,704.00,1
55,716.00,1
56,724.00,1
57,460.00,1
58,715.00,1
59,707.00,1
60,677.00,1
61,690.00,1
62,694.00,1
63,691.00,1
64,238.00,1
65,647.00,1
66,746.00,1
67,805.00,1
68,819.00,1
69,781.00,1
70,786.00,1
71,757.00,1
72,727.00,1
73,724.00,1
74,715.00,1
75,711.00,1
76,708.00,1
77,703.00,1
78,696.00,1
79,658.00,1
80,576.00,1
81,370.00,1
82,418.00,1
83,589.00,1
84,572.00,1
85,513.00,1
86,563.00,1
87,564.00,1
88,565.00,1
89,564.00,1
90,563.00,1
91,563.00,1
92,522.00,1
93,523.00,1
94,522.00,1
95,490.00,1
96,492.00,1
97,488.00,1
98,482.00,1
99,492.00,1
100,476.00,1
101,466.00,1
102,464.00,1
103,459.00,1
104,458.00,1
105,291.00,1
106,487.00,1
107,469.00,1
108,465.00,1
109,467.00,1
110,464.00,1
111,459.00,1
112,461.00,1
113,458.00,1
114,482.00,1
115,489.00,1
116,376.00,1
117,378.00,1
118,379.00,1
119,377.00,1
120,418.00,1
121,508.00,1
122,470.00,1
123,521.00,1
124,518.00,1
125,493.00,1
126,509.00,1
127,352.00,1
128,287.00,1
129,279.00,1
130,297.00,1
131,297.00,1
132,296.00,1
133,296.00,1
134,293.00,1
135,0.00,1
136,0.00,1
137,0.00,1
138,0.00,1
139,0.00,1
140,0.00,1
141,0.00,1
142,0.00,1
143,0.00,1
144,0.00,1
145,0.00,1
146,0.00,1
147,0.00,1
148,0.00,1
149,0.00,1
150,104.00,1
151,290.00,1
152,428.00,1
153,423.00,1
154,412.00,1
155,411.00,1
156,409.00,1
157,390.00,1
158,380.00,1
159,391.00,1
160,392.00,1
161,384.00,1
162,342.00,1
163,339.00,1
164,345.00,1
165,334.00,1
166,330.00,1
167,358.00,1
168,378.00,1
169,357.00,1
170,354.00,1
171,339.00,1
172,325.00,1
173,325.00,1
174,322.00,1
175,308.00,1
176,0.00,1
177,0.00,1
178,55.00,1
179,199.00,1
180,275.00,1
181,288.00,1
182,323.00,1
183,315.00,1
184,322.00,1
185,320.00,1
186,326.00,1
187,329.00,1
188,325.00,1
189,323.00,1
190,321.00,1
191,320.00,1
192,323.00,1
193,322.00,1
194,321.00,1
195,321.00,1
196,323.00,1
197,327.00,1
198,316.00,1
199,314.00,1
200,314.00,1
201,314.00,1
202,317.00,1
203,333.00,1
204,318.00,1
205,315.00,1
206,304.00,1
207,318.00,1
208,323.00,1
209,317.00,1
210,321.00,1
211,295.00,1
212,291.00,1
213,288.00,1
214,292.00,1
215,293.00,1
216,292.00,1
217,290.00,1
218,283.00,1
219,295.00,1
220,295.00,1
221,291.00,1
222,290.00,1
223,293.00,1
224,293.00,1
225,293.00,1
226,289.00,1
227,282.00,1
228,285.00,1
229,284.00,1
230,283.00,1
231,273.00,1
232,0.00,1
233,0.00,1
234,0.00,1
235,0.00,1
236,0.00,1
237,0.00,1
238,1.00,1
239,120.00,1
240,0.00,1
241,0.00,1
242,0.00,1
243,0.00,1
244,0.00,1
245,0.00,1
246,0.00,1
247,0.00,1
248,0.00,1
249,0.00,1
250,0.00,1
251,0.00,1
252,0.00,1
253,0.00,1
254,0.00,1
255,0.00,1
256,0.00,1
257,0.00,1
258,0.00,1
259,0.00,1
260,0.00,1
261,0.00,1
262,0.00,1
263,0.00,1
264,0.00,1
265,0.00,1
266,0.00,1
267,0.00,1
268,0.00,1
269,0.00,1
270,94.00,1
271,791.00,1
272,917.00,1
273,789.00,1
274,790.00,1
275,784.00,1
276,574.00,1
277,626.00,1
278,356.00,1
279,423.00,1
280,487.00,1
281,597.00,1
282,610.00,1
283,581.00,1
284,461.00,1
285,453.00,1
286,419.00,1
287,442.00,1
288,447.00,1
289,226.00,1
290,8.00,1
291,0.00,1
292,0.00,1
293,0.00,1
294,0.00,1
295,0.00,1
296,0.00,1
297,0.00,1
298,0.00,1
299,0.00,1
300,0.00,1
301,0.00,1
302,0.00,1
303,0.00,1
304,0.00,1
305,0.00,1
306,0.00,1
307,0.00,1
308,0.00,1
309,125.00,1
310,402.00,1
311,474.00,1
312,466.00,1
313,423.00,1
314,421.00,1
315,419.00,1
316,420.00,1
317,410.00,1
318,520.00,1
319,653.00,1
320,638.00,1
321,625.00,1
322,476.00,1
323,410.00,1
324,626.00,1
325,941.00,1
326,738.00,1
327,400.00,1
328,0.00,1
329,0.00,1
330,0.00,1
331,0.00,1
332,0.00,1
333,0.00,1
334,0.00,1
335,0.00,1
336,0.00,1
337,0.00,1
338,0.00,1
339,0.00,1
340,0.00,1
341,0.00,1
342,0.00,1
343,0.00,1
344,0.00,1
345,0.00,1
346,92.00,1
347,216.00,1
348,223.00,1
349,226.00,1
350,385.00,1
351,343.00,1
352,356.00,1
353,448.00,1
354,609.00,1
355,619.00,1
356,565.00,1
357,551.00,1
358,624.00,1
359,623.00,1
360,58.00,1
361,0.00,1
362,0.00,1
363,0.00,1
364,0.00,1
365,0.00,1
366,0.00,1
367,0.00,1
368,0.00,1
369,0.00,1
370,0.00,1
371,0.00,1
372,0.00,1
373,0.00,1
374,0.00,1
375,0.00,1
376,0.00,1
377,0.00,1
378,0.00,1
379,82.00,1
380,173.00,1
381,268.00,1
382,320.00,1
383,319.00,1
384,341.00,1
385,340.00,1
386,397.00,1
387,444.00,1
388,575.00,1
389,608.00,1
390,665.00,1
391,621.00,1
392,212.00,1
393,0.00,1
394,0.00,1
395,0.00,1
396,0.00,1
397,0.00,1
398,0.00,1
399,0.00,1
400,0.00,1
401,0.00,1
402,0.00,1
403,0.00,1
404,0.00,1
405,0.00,1
406,0.00,1
407,0.00,1
408,0.00,1
409,0.00,1
410,0.00,1
411,143.00,1
412,503.00,1
413,537.00,1
414,505.00,1
415,353.00,1
416,294.00,1
417,0.00,1
418,0.00,1
419,0.00,1
420,0.00,1
421,0.00,1
422,0.00,1
423,0.00,1
424,0.00,1
425,0.00,1
426,0.00,1
427,0.00,1
428,0.00,1
429,0.00,1
430,0.00,1
431,83.00,1
432,213.00,1
433,256.00,1
